Country,Code,Annual greenhouse gas emissions per capita
Aruba,ABW,8.527013
Afghanistan,AFG,0.95734286
Angola,AGO,6.105549
Albania,ALB,2.9245024
Andorra,AND,7.331974
United Arab Emirates,ARE,28.138329
Argentina,ARG,8.273893
Armenia,ARM,3.87392
Antigua and Barbuda,ATG,5.9170275
Australia,AUS,23.244528
Austria,AUT,8.226747
Azerbaijan,AZE,6.6268783
Burundi,BDI,0.77126765
Belgium,BEL,10.908893
Benin,BEN,2.5118988
Burkina Faso,BFA,2.1406453
Bangladesh,BGD,1.537347
Bulgaria,BGR,7.4534483
Bahrain,BHR,48.46873
Bahamas,BHS,6.92953
Bosnia and Herzegovina,BIH,6.6266165
Belarus,BLR,11.1633
Belize,BLZ,15.83648
Bolivia,BOL,9.588935
Brazil,BRA,10.0310755
Barbados,BRB,4.6314564
Brunei,BRN,38.624077
Bhutan,BTN,4.6388083
Botswana,BWA,8.138576
Central African Rep.,CAF,4.9344907
Canada,CAN,20.372282
Switzerland,CHE,4.7408385
Chile,CHL,6.3613267
China,CHN,9.61547
Cote d'Ivoire,CIV,3.389505
Cameroon,CMR,2.4738226
Dem. Rep. Congo,COD,5.6817393
Congo,COG,6.700668
Cook Islands,COK,5.2449493
Colombia,COL,5.810027
Comoros,COM,1.1983283
Cape Verde,CPV,1.4226719
Costa Rica,CRI,2.793394
Cuba,CUB,3.2997684
Cyprus,CYP,6.7456036
Czechia,CZE,9.602784
Germany,DEU,8.943109
Djibouti,DJI,1.7064061
Dominica,DMA,2.8169975
Denmark,DNK,7.60971
Dominican Republic,DOM,3.952497
Algeria,DZA,6.3651667
Ecuador,ECU,4.7346253
Egypt,EGY,3.1609464
Eritrea,ERI,2.8311672
Spain,ESP,5.9920774
Estonia,EST,11.848085
Ethiopia,ETH,2.4843411
Finland,FIN,14.360663
Fiji,FJI,2.6117563
France,FRA,6.0557623
Micronesia,FSM,1.102531
Gabon,GAB,10.546188
United Kingdom,GBR,6.2557755
Georgia,GEO,2.831396
Ghana,GHA,1.4885124
Guinea,GIN,3.7655046
Gambia,GMB,1.4793785
Guinea-Bissau,GNB,2.2585895
Equatorial Guinea,GNQ,11.27898
Greece,GRC,5.7179317
Grenada,GRD,2.852824
Guatemala,GTM,2.9327753
Guyana,GUY,15.498233
Hong Kong,HKG,5.116932
Honduras,HND,3.3969092
Croatia,HRV,5.3483243
Haiti,HTI,1.6759661
Hungary,HUN,5.8026786
Indonesia,IDN,7.4981375
India,IND,2.771403
Ireland,IRL,11.650791
Iran,IRN,11.424752
Iraq,IRQ,8.749688
Iceland,ISL,11.960084
Israel,ISR,8.075923
Italy,ITA,6.2799363
Jamaica,JAM,3.081974
Jordan,JOR,3.0855055
Japan,JPN,8.861904
Kazakhstan,KAZ,19.804934
Kenya,KEN,1.9444716
Kyrgyzstan,KGZ,3.1301188
Cambodia,KHM,4.8384843
Kiribati,KIR,0.8582374
Saint Kitts and Nevis,KNA,4.497694
South Korea,KOR,12.722387
Kuwait,KWT,34.31644
Laos,LAO,9.1478405
Lebanon,LBN,5.581993
Liberia,LBR,3.8696833
Libya,LBY,12.780117
Saint Lucia,LCA,3.0075023
Liechtenstein,LIE,4.1861973
Sri Lanka,LKA,1.9329699
Lesotho,LSO,2.6457024
Lithuania,LTU,8.853143
Luxembourg,LUX,14.540486
Latvia,LVA,7.8781233
Macao,MAC,2.1041667
Morocco,MAR,2.9792855
Moldova,MDA,2.2712238
Madagascar,MDG,1.9467602
Maldives,MDV,4.5541716
Mexico,MEX,6.375729
North Macedonia,MKD,3.8346138
Mali,MLI,1.9965332
Malta,MLT,3.564138
Myanmar,MMR,4.9915605
Montenegro,MNE,4.7437
Mongolia,MNG,27.85953
Mozambique,MOZ,2.534102
Mauritania,MRT,3.7655652
Mauritius,MUS,4.35955
Malawi,MWI,1.1990137
Malaysia,MYS,12.77
Namibia,NAM,7.5114517
Niger,NER,2.329063
Nigeria,NGA,2.082922
Nicaragua,NIC,5.535753
Niue,NIU,6.9218082
Netherlands,NLD,10.157651
Norway,NOR,13.350353
Nepal,NPL,1.8991708
Nauru,NRU,5.1834846
New Zealand,NZL,13.424053
Oman,OMN,26.80824
Pakistan,PAK,2.3040972
Panama,PAN,5.559283
Peru,PER,4.1240396
Philippines,PHL,2.3703315
Palau,PLW,16.859964
Papua New Guinea,PNG,5.2927127
Poland,POL,10.041145
North Korea,PRK,3.2670577
Portugal,PRT,5.00805
Paraguay,PRY,15.268546
Qatar,QAT,76.56767
Romania,ROU,5.3130455
Russia,RUS,16.615496
Rwanda,RWA,0.7552745
Saudi Arabia,SAU,22.85005
Sudan,SDN,3.3140023
Senegal,SEN,1.8545691
Singapore,SGP,6.7023563
Saint Helena,SHN,3.3308086
Solomon Islands,SLB,5.425691
Sierra Leone,SLE,2.3038766
El Salvador,SLV,1.4170859
Somalia,SOM,2.8089726
Serbia,SRB,5.275365
South Sudan,SSD,5.4678264
Sao Tome and Principe,STP,0.9679181
Suriname,SUR,12.949845
Slovakia,SVK,7.726161
Slovenia,SVN,8.376092
Sweden,SWE,6.221075
Eswatini,SWZ,2.1899605
Seychelles,SYC,6.2107015
Syria,SYR,1.8231028
Turks and Caicos Islands,TCA,7.9310613
Chad,TCD,6.7791166
Togo,TGO,1.2635787
Thailand,THA,6.3144717
Tajikistan,TJK,2.2485516
Turkmenistan,TKM,22.448664
East Timor,TLS,7.098874
Tonga,TON,3.1021245
Trinidad and Tobago,TTO,36.23593
Tunisia,TUN,3.706582
Turkey,TUR,7.058078
Tuvalu,TUV,1.7286229
Taiwan,TWN,12.904841
Tanzania,TZA,3.5301714
Uganda,UGA,1.4872751
Ukraine,UKR,6.5336895
Uruguay,URY,13.249139
United States of America,USA,17.583845
Uzbekistan,UZB,6.072601
Saint Vincent and the Grenadines,VCT,2.482649
Venezuela,VEN,6.718571
British Virgin Islands,VGB,5.814985
Vietnam,VNM,5.851598
Vanuatu,VUT,1.1916974
Samoa,WSM,2.3007865
Yemen,YEM,0.9521155
South Africa,ZAF,9.309129
Zambia,ZMB,4.626591
Zimbabwe,ZWE,2.3797135
